ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SensationSeeing,Alcohol
236,1,1,5,5,6,36,46,37,56,54,1,0,1
237,1,1,7,5,6,50,42,45,46,45,4,5,1
238,1,1,1,5,6,45,39,30,45,50,1,0,1
239,0,1,3,5,6,41,39,41,39,44,3,5,0
240,3,1,5,5,6,20,44,51,53,44,1,3,1
241,2,1,7,5,6,42,31,46,53,56,1,3,0
242,1,1,3,3,6,55,31,40,48,34,4,2,1
243,0,1,4,5,6,50,29,24,48,35,1,1,1
244,1,1,6,5,6,30,47,51,49,48,1,5,1
245,2,0,6,5,6,54,29,45,50,20,2,4,1
246,1,1,4,5,6,33,33,34,33,31,0,1,1
247,1,1,5,5,6,49,35,37,46,37,3,3,1
248,3,0,7,5,6,27,38,38,47,52,3,4,1
249,3,1,8,5,6,16,41,44,55,53,2,2,1
250,3,1,5,5,6,47,42,45,49,49,2,5,1
251,3,0,6,5,6,31,41,44,40,51,4,3,1
252,2,1,6,5,6,42,33,41,42,47,1,1,0
253,0,1,7,5,6,23,46,42,56,54,2,5,1
254,3,1,8,5,6,28,41,48,43,48,1,0,1
255,1,0,5,5,6,49,35,41,37,40,1,3,0
256,2,1,7,5,6,25,51,53,51,47,4,7,1
257,0,1,4,5,6,31,44,44,48,48,2,5,0
258,2,0,8,5,6,36,40,52,25,40,2,6,0
259,5,0,8,5,6,41,39,43,33,53,2,1,1
260,5,0,5,5,6,26,38,48,46,47,3,4,1
261,3,1,5,5,6,31,46,58,37,42,8,9,1
262,4,0,6,5,6,29,37,51,43,41,8,6,0
263,3,0,7,5,0,27,45,44,49,44,1,1,0
264,4,1,0,5,6,26,40,46,53,49,2,1,1
265,0,1,6,5,6,31,41,46,47,46,1,2,1
266,2,1,6,5,1,33,40,43,43,42,2,0,0
267,4,0,6,5,6,25,39,45,45,47,3,6,1
268,2,0,5,5,1,27,49,37,40,42,3,6,1
269,3,1,7,5,6,26,51,50,46,54,3,4,1
270,2,1,7,5,1,27,41,40,38,43,1,0,0
271,3,1,7,5,6,17,53,56,48,47,6,7,1
272,3,1,7,5,6,43,35,49,45,31,2,8,1
273,4,0,8,5,6,26,40,46,45,42,5,3,1
274,1,1,6,5,6,38,41,38,45,44,2,5,1
275,2,0,7,5,6,38,46,47,37,46,3,8,1
276,2,1,7,5,6,40,37,47,46,52,1,5,0
277,4,0,8,5,6,27,43,42,41,38,3,4,1
278,1,0,4,5,6,26,49,53,48,41,5,6,1
279,3,1,6,5,6,33,37,44,48,42,2,4,1
280,3,0,7,5,6,24,45,48,46,45,4,4,1
281,4,0,7,5,6,35,41,51,43,35,2,3,1
282,3,1,4,5,6,36,38,30,42,41,2,3,1
283,3,1,7,5,6,35,40,47,49,48,4,7,1
284,3,0,6,5,6,27,50,47,41,47,4,7,1
285,2,0,5,3,6,25,34,51,40,44,7,5,0
286,2,0,6,5,6,27,48,41,41,44,1,5,1
287,3,1,6,5,6,38,30,45,34,41,1,0,1
288,3,0,7,5,6,39,42,43,46,35,3,5,0
289,1,0,4,5,6,42,42,41,41,42,3,1,1
290,1,1,7,5,6,19,44,41,53,49,1,2,0
291,2,1,5,5,1,27,46,40,52,48,1,1,0
292,2,1,4,5,6,42,32,49,38,39,1,4,1
293,3,1,5,5,6,35,39,42,39,45,2,4,0
295,1,1,5,5,6,47,40,45,38,39,4,5,0
296,0,1,2,5,6,32,43,45,39,41,2,3,1
297,2,0,5,5,6,49,37,47,43,42,2,4,1
298,5,1,1,5,6,44,34,47,42,49,3,4,0
300,2,1,6,5,6,37,38,36,53,45,3,1,1
301,2,1,5,6,6,44,33,45,46,46,2,3,1
302,1,1,4,6,6,33,37,35,44,46,1,1,0
303,2,1,8,5,6,41,37,41,47,48,2,3,1
304,4,1,5,5,6,34,44,46,38,39,3,6,1
305,3,1,6,5,6,32,40,37,42,48,3,2,1
306,3,1,6,5,6,26,22,37,53,43,2,1,0
307,2,0,7,5,6,38,31,40,36,47,1,3,1
308,3,0,7,5,6,31,36,41,50,47,2,4,1
309,2,1,3,5,6,21,45,45,43,52,4,6,1
310,2,0,7,5,6,28,41,45,47,45,1,0,1
311,3,1,6,5,6,24,39,40,44,46,1,1,0
312,0,1,1,5,6,47,36,32,41,41,8,8,0
313,3,1,7,5,6,32,40,43,45,43,1,4,1
314,1,1,7,5,6,36,51,48,47,50,4,4,1
315,0,1,3,4,6,30,41,41,44,41,2,2,1
316,3,1,8,5,6,28,45,50,43,45,2,4,1
317,4,1,6,5,6,31,45,53,40,36,8,7,1
318,2,0,6,5,1,28,52,39,43,49,2,4,1
319,1,1,5,5,6,36,40,41,45,48,1,2,0
320,3,1,1,5,5,39,38,37,42,46,6,7,0
321,3,1,6,5,6,43,38,42,36,41,1,2,1
322,2,1,4,5,6,41,38,39,54,52,1,0,1
323,0,1,6,5,6,28,43,49,49,43,3,7,1
324,3,0,2,5,6,45,32,34,45,36,2,6,1
325,1,1,8,5,6,38,40,55,37,48,4,4,1
326,2,1,5,5,6,28,48,45,49,55,4,4,1
327,2,0,3,5,6,30,28,32,49,45,5,6,1
328,3,0,7,5,6,20,50,46,53,50,1,3,1
329,1,1,5,5,6,38,38,37,50,38,1,0,1
330,3,0,5,5,6,32,43,39,46,41,5,5,0
331,3,1,5,5,6,26,43,41,48,47,3,5,0
332,2,0,0,5,6,33,37,39,40,46,1,3,1
333,4,1,3,1,6,31,37,35,49,47,1,1,0
334,0,1,4,5,6,59,26,40,46,28,4,4,1
335,5,0,4,1,6,24,37,39,44,43,7,5,0
336,5,1,1,1,6,34,39,36,34,42,3,8,0
337,1,1,7,5,6,40,36,50,46,34,8,8,1
338,3,1,7,5,1,42,41,45,43,50,3,3,1
339,3,1,5,1,6,30,42,53,31,45,8,7,1
340,2,0,8,5,6,20,48,48,48,51,3,7,1
341,3,1,5,5,6,34,38,42,49,47,1,5,1
342,2,1,7,5,6,31,47,52,45,45,0,5,1
343,4,1,5,5,6,21,46,44,49,53,0,1,1
344,4,1,5,5,6,42,40,46,42,46,4,4,0
345,0,1,0,5,6,38,39,46,42,39,6,3,1
346,2,1,7,5,6,20,41,55,54,49,2,3,0
347,2,1,6,5,6,36,43,45,49,44,4,5,0
348,3,1,6,5,6,34,51,56,57,44,8,9,1
349,3,0,7,5,6,27,45,46,43,45,1,1,0
350,3,0,5,5,1,30,42,43,42,44,3,2,1
351,3,0,6,5,6,41,35,42,44,41,3,7,1
352,2,1,4,5,6,46,36,52,51,37,6,5,0
353,2,0,5,5,6,40,41,46,40,38,3,7,1
354,3,0,6,5,6,34,35,49,48,31,4,5,0
355,1,0,1,5,6,31,40,45,39,45,5,3,0
356,2,0,5,5,6,38,39,46,45,40,2,7,0
357,1,0,0,5,6,42,40,54,54,48,8,10,1
358,3,0,6,5,6,25,39,37,52,45,2,6,1
359,2,0,1,5,6,57,31,39,31,29,8,10,0
360,2,0,4,5,6,40,34,52,44,39,5,5,0
361,1,1,4,5,6,30,50,50,44,45,7,10,1
362,3,1,6,5,6,41,45,46,44,41,3,6,0
363,2,1,5,5,6,42,44,53,49,50,6,7,1
364,3,0,6,5,6,40,42,45,47,45,2,4,0
365,3,1,5,5,6,48,39,37,48,45,1,0,1
366,2,1,8,5,6,40,39,47,43,38,3,5,1
367,3,0,5,5,0,34,40,42,40,32,1,1,1
368,2,1,6,5,0,26,43,45,42,46,1,2,0
369,3,1,6,5,6,25,43,48,46,44,4,5,1
370,1,0,5,5,6,35,33,34,44,47,3,3,1
371,1,1,6,5,6,48,42,48,48,37,4,5,0
372,0,0,3,1,6,38,42,47,37,40,2,6,1
373,2,1,6,5,6,46,54,56,34,45,7,10,1
374,0,1,4,5,6,45,46,38,47,44,3,7,1
375,3,0,6,5,6,32,27,51,37,43,3,4,1
376,4,1,7,5,6,33,48,52,53,49,2,2,1
377,5,0,5,5,6,37,41,48,34,51,1,3,1
378,3,1,7,5,6,27,40,41,44,48,2,7,1
379,1,1,6,5,6,31,36,34,46,38,2,2,1
380,1,0,7,3,6,44,33,50,47,47,5,5,0
381,3,1,5,5,6,44,37,51,43,44,3,5,1
382,2,0,6,5,6,31,47,44,39,43,4,8,0
383,2,0,1,3,6,32,36,38,37,36,7,4,0
384,2,1,7,3,6,28,41,45,41,47,4,7,1
385,3,1,6,5,6,37,38,43,50,47,0,4,1
386,3,1,6,5,1,33,41,39,48,46,4,1,0
387,1,0,5,5,6,30,37,29,44,39,2,5,1
388,3,0,3,5,6,19,43,38,53,46,2,4,0
389,1,0,6,5,1,24,42,42,34,54,2,6,0
390,2,0,5,5,6,37,38,47,42,40,3,3,0
391,1,0,8,5,6,30,42,45,44,46,1,1,1
392,2,1,4,5,6,29,37,48,44,42,4,3,0
393,1,1,6,5,6,42,40,47,45,43,2,4,1
394,2,1,2,5,6,31,42,42,43,49,2,2,1
395,1,1,5,5,6,28,39,30,39,51,1,0,1
396,1,0,5,5,6,23,44,45,38,53,5,7,1
397,2,0,6,5,6,38,48,43,33,36,8,9,1
398,2,1,6,5,6,20,44,39,41,46,3,4,1
399,3,0,5,5,6,37,43,40,33,45,7,9,1
400,1,1,7,5,6,28,42,48,34,48,6,4,1
401,3,0,7,5,6,27,48,55,49,46,2,2,0
402,1,1,3,5,6,34,39,32,47,47,2,3,0
403,3,0,1,5,6,37,32,43,32,37,8,9,1
404,0,0,4,5,6,27,35,44,39,32,5,7,1
405,0,0,6,5,6,23,44,44,38,39,1,4,1
406,3,0,2,5,6,45,39,45,42,44,6,6,0
407,0,1,0,5,6,37,50,57,51,42,7,8,1
408,3,1,6,5,6,53,33,56,43,39,4,7,0
409,2,0,2,5,5,49,39,44,41,37,3,6,1
410,1,0,6,5,6,29,41,50,44,40,4,1,0
411,2,1,5,6,6,22,45,51,45,46,3,7,0
412,3,0,3,5,6,46,30,49,49,31,6,7,1
413,2,1,4,3,6,31,29,48,44,29,3,3,0
414,1,1,6,5,6,37,47,39,46,40,2,4,1
415,2,0,4,5,6,36,39,51,44,39,3,5,1
416,2,1,4,5,6,20,42,38,42,37,4,5,1
417,0,0,3,5,6,30,32,42,29,56,3,8,1
418,0,0,4,5,6,35,35,48,28,32,4,8,1
419,1,0,4,5,6,28,46,47,36,37,7,10,1
420,1,1,8,5,6,39,40,53,40,45,3,5,1
421,1,0,6,5,6,42,41,45,41,43,4,4,1
422,0,0,3,5,6,39,45,46,37,49,5,8,0
423,1,0,4,5,6,39,27,36,41,39,5,3,1
424,2,0,5,5,6,28,39,46,54,37,3,2,0
425,2,1,6,5,3,26,45,41,51,48,3,3,1
426,3,1,8,6,6,41,40,56,49,42,7,7,0
427,2,0,6,5,6,32,38,47,41,29,3,3,1
428,3,0,1,5,6,38,40,44,42,42,5,5,1
429,2,0,6,3,6,42,34,45,34,41,6,6,1
430,1,1,3,5,6,27,39,31,45,47,1,1,1
431,1,0,0,5,6,38,33,36,38,40,3,5,1
432,1,1,3,5,6,36,42,39,49,34,4,5,1
433,1,0,6,5,6,33,38,34,45,43,2,2,1
434,3,1,1,5,6,38,52,38,51,41,8,8,1
435,0,1,6,5,6,34,46,35,56,52,3,4,1
436,1,1,6,5,6,36,43,38,47,53,2,4,0
437,4,0,4,6,6,29,38,53,54,47,1,2,0
438,3,0,1,5,6,23,43,48,37,45,5,7,1
439,1,1,6,6,6,59,37,40,31,26,6,6,1
440,0,1,4,6,6,49,38,48,42,28,4,5,0
441,2,1,6,5,6,31,43,42,48,53,3,4,1
442,0,1,4,5,6,29,49,31,43,46,5,6,0
443,1,1,7,5,6,27,40,48,42,42,4,6,1
444,2,0,1,5,6,40,44,41,38,40,3,5,1
445,3,1,5,5,6,31,45,50,44,47,0,3,1
446,3,1,6,5,6,46,33,42,37,45,3,1,1
447,1,1,6,5,6,38,32,49,58,37,2,7,1
448,1,0,7,5,6,36,39,40,38,33,7,6,1
449,0,1,4,5,6,47,49,53,31,35,7,9,1
450,0,0,6,5,6,32,44,49,41,47,3,6,1
451,0,1,6,5,6,43,39,40,47,34,5,6,1
452,0,1,7,5,6,25,45,40,42,47,4,4,1
453,2,1,6,5,6,34,39,47,44,48,1,6,1
454,1,0,6,5,6,48,27,44,44,45,1,5,1
455,3,0,8,5,6,34,36,52,38,40,8,8,1
456,0,1,6,5,6,44,34,51,38,22,6,5,1
457,2,0,6,5,6,51,37,48,28,37,6,7,1
458,2,1,7,5,6,31,36,47,47,47,1,0,1
459,0,1,6,5,6,42,40,47,47,43,3,6,1
460,1,0,7,5,6,45,48,57,26,39,5,6,0
461,0,1,6,5,6,48,30,54,31,44,6,6,1
462,0,0,4,5,6,50,30,28,54,32,5,2,1
463,2,0,4,5,6,44,43,55,44,24,7,9,0
464,3,0,3,5,6,46,33,42,52,32,3,7,1
465,0,1,6,5,6,39,34,53,48,48,4,5,1
466,0,1,7,5,6,49,32,46,40,39,7,8,1
467,0,1,6,5,0,39,44,53,50,40,2,8,0
468,3,0,6,5,6,38,40,54,43,51,3,5,1
469,2,0,6,5,6,35,41,41,41,43,1,2,1
470,1,0,6,5,6,25,51,55,48,42,6,9,1
471,3,1,1,6,6,59,28,36,53,26,3,6,0
472,0,1,6,5,6,37,45,48,42,47,2,3,0
473,0,0,7,5,-4,27,55,53,50,55,3,7,1
474,0,1,0,5,6,39,40,45,51,42,4,5,1
475,2,1,4,6,6,49,40,43,38,38,6,5,0
476,4,1,6,5,3,33,46,47,42,45,1,0,1
477,3,1,6,6,6,25,46,43,48,48,2,3,0
478,2,0,6,5,6,52,33,50,31,39,4,3,1
479,2,1,5,5,6,50,35,41,35,32,7,8,1
480,1,1,6,5,6,40,45,44,49,46,3,6,1
481,1,1,7,0,6,40,37,55,52,44,4,7,1
482,0,0,4,6,6,47,34,45,34,37,1,3,0
483,2,1,6,0,6,46,41,48,42,46,4,7,1
484,2,0,4,5,6,29,39,48,44,52,2,5,0
485,1,1,6,5,6,48,43,55,45,48,4,3,0
486,2,1,1,5,6,30,46,42,48,40,1,2,0
487,3,1,1,5,6,31,42,35,50,36,1,3,1
488,1,0,3,3,6,50,28,53,38,31,2,2,1
489,2,1,3,6,6,53,27,54,36,44,4,4,0
490,1,0,1,5,6,40,30,47,48,39,3,9,1
491,0,0,0,5,6,54,30,48,30,29,3,6,0
492,0,0,4,5,6,26,47,52,34,31,2,9,1
493,3,1,5,5,6,42,45,49,41,36,7,10,1
494,0,0,3,5,6,27,43,49,47,42,4,7,1
495,0,0,5,5,6,41,36,52,43,44,6,8,1
496,0,0,4,5,6,43,28,52,35,29,1,4,1
497,0,0,5,3,5,25,37,49,47,43,1,5,0
